Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.666,6.2,1.333334,68342332.8,0,0,0,51.078666,1699045220
1.660001,6,1.333334,69769379.2,0,0,0,51.079451,1699045230
1.565,5.4,1,71148912,0,0,0,51.079451,1699045240
1.658,5.4,1.333334,72636579.2,0,0,0,51.079451,1699045250
1.688,6,1.333334,74052156.8,0,0,0,51.079451,1699045260
1.696001,5.4,1,75475926.4,0,0,0,51.079451,1699045270
1.761,5.4,1.333334,76985302.4,0,0,0,51.079451,1699045280
1.783,6,1.333334,78347543.2,0,0,0,51.079451,1699045290
1.657,5.4,1,79883745.6,0,0,0,51.079451,1699045300
1.728001,5.4,1.333334,81207572.8,0,0,0,51.079451,1699045310
1.783,6.2,1.333334,55527912,0,0,0,51.088868,1699045320
1.847,6.2,1,50207260.8,0,0,0,51.113805,1699045330
1.759,5.4,1.333334,51703529.6,0,0,0,51.089914,1699045340
2.071,6.8,1.333334,53105180.8,0,0,0,51.090001,1699045350
1.735,5.4,1,54653468.8,0,0,0,51.090786,1699045360
1.746,5.4,1.333334,56120656,0,0,0,51.090786,1699045370
1.728001,6,1.333334,57538281.6,0,0,0,51.090786,1699045380
1.679,6,1,59019820.8,0,0,0,51.090786,1699045390
1.738,5.6,1.333334,60526345.6,0,0,0,51.090786,1699045400
1.764,6,1.333334,61927996.8,0,0,0,51.090786,1699045410
1.681,5.4,1,63360777.6,0,0,0,51.090786,1699045420
1.628001,5.4,1.333334,64858626.285715,0,0,0,51.09096,1699045430
1.729,6,1.333334,66142371.2,0,0,0,51.090786,1699045440
2.113,6.2,1,67687792,0,0,0,51.090873,1699045450
1.786,5.8,1.333334,69101731.2,0,0,0,51.091658,1699045460
1.753001,5.6,1.333334,70502563.2,0,0,0,51.091658,1699045470
1.74,5.8,1,72047574.4,0,0,0,51.091658,1699045480
