Sysdig Container CPU Cores Used Percentage,Sysdig Container CPU Shares Used Percentage,Sysdig Container File Total Bytes,Sysdig Container File Total IOPS,Sysdig Container File Total Time,Sysdig Container Memory Used Bytes,Sysdig Container Net Connection Total Count,Sysdig Container Net Error Count,Sysdig Container Net HTTP Request Count,Sysdig Container Net HTTP Request Time,Sysdig Container Syscall Count,Sysdig Container Syscall Error Count,Sysdig Container Thread Count,Sysdig Program CPU Cores Used Percentage,Sysdig Program CPU Used Percentage,Sysdig Program File Input Operations per Second,Sysdig Program File Open Count,Sysdig Program File Total Time,Sysdig Program Memory Used Bytes,Sysdig Program Net Connection Total Count,Sysdig Program Net Error Count,Sysdig Program Syscall Count,Sysdig Program Thread Count,Timestamp
1.416,520.895,33606.9,24.2,1677104.1,347361280,2,2,0,0,164.1,5,37,1.658,0.4145,24,2664,1677104.1,358129664,2,2,164.1,37,1699045220
1.703,625.314001,59256.5,27.9,840683.8,347361280,2,2,0,0,167.7,5,37,1.605,0.40125,24.5,2664,840683.8,358129664,2,2,167.7,37,1699045230
1.079,396.192,26010.7,24.1,747649.9,347361280,2,2,0,0,164,5,37,1.106,0.2765,24,2664,747649.9,358129664,2,2,164,37,1699045240
1.088,400.731,30209.9,24.2,998010.5,347361280,2,2,0,0,164.2,5,37,0.903,0.22575,24,2664,998010.5,358129664,2,2,164.2,37,1699045250
1.07,393.359001,23581.7,24.1,1358239.4,347363328,2,2,0,0,163.3,5,37,1.095,0.27375,24,2664,1358239.4,358129664,2,2,163.3,37,1699045260
1.02,376.003001,24039.8,24.1,954135,347361280,2,2,0,0,164,5,37,1.212,0.303,24,2664,954135,358129664,2,2,164,37,1699045270
1.049,386.117,24138.1,24.1,958324.4,347361280,2,2,0,0,164,5,37,1.047001,0.261751,24,2664,958324.4,358129664,2,2,164,37,1699045280
1.69,619.992,57118.1,28.2,1119234.6,347361280,2,2,0,0,167.6,5,37,1.658,0.4145,24.6,2664,1119234.6,358129664,2,2,167.6,37,1699045290
1.075,395.685,24338.8,24.1,1480299.1,347361280,2,2,0,0,164,5,37,1.059,0.26475,24,2664,1480299.1,358129664,2,2,164,37,1699045300
1.065,391.652,24417.7,24.1,1183252.1,347361280,2,2,0,0,164,5,37,1.002,0.2505,24,2664,1183252.1,358129664,2,2,164,37,1699045310
1.035,381.21,26547.5,24.3,724266.3,347361280,2,2,0,0,163.8,5,37,1.104,0.276,24.1,2664,724266.3,358129664,2,2,163.8,37,1699045320
1.06,389.934,24584.3,24.1,791668.5,347361280,2,2,0,0,164,5,37,1.108,0.277,24,2664,791668.5,358129664,2,2,164,37,1699045330
1.03,378.866,24649.1,24.1,704540,347361280,2,2,0,0,164,5,37,0.956001,0.239001,24,2664,704540,358129664,2,2,164,37,1699045340
1.082,398.186001,30928.8,25.4,810033.9,347361280,2,2,0,0,165.2,5,37,1.104,0.276,24.3,2664,810033.9,358129664,2,2,165.2,37,1699045350
1.056,388.502,24801.3,24.1,794539.9,347361280,2,2,0,0,164,5,37,1.102,0.2755,24,2664,794539.9,358129664,2,2,164,37,1699045360
1.085,398.792001,24865.8,24.1,2671506,347361280,2,2,0,0,164,5,37,1.052,0.263,24,2664,2671506,358129664,2,2,164,37,1699045370
1.091,401.178,24934.3,24.1,1299518,347361280,2,2,0,0,163.6,5,37,1.052,0.263,24,2664,1299518,358129664,2,2,163.6,37,1699045380
1.133,416.383,25005,24.1,1088469.8,347361280,2,2,0,0,164,5,37,1.204,0.301,24,2664,1088469.8,358129664,2,2,164,37,1699045390
1.059,389.079,25070.6,24.1,955306,347361280,2,2,0,0,164,5,37,1.004,0.251,24,2664,955306,358129664,2,2,164,37,1699045400
1.144,420.796,29607.3,25,1419602.1,347361280,2,2,0,0,164.8,5,37,1.204,0.301,24.2,2664,1419602.1,358129664,2,2,164.8,37,1699045410
1.065,392.164,25214.3,24.1,1170117.4,347360460.8,2,2,0,0,164,5,37,0.999,0.24975,24,2664,1170117.4,358129664,2,2,164,37,1699045420
1.086,399.688,25289.7,24.1,1290810.3,347355955.2,2,2,0,0,164,5,37,1.102,0.2755,24,2664,1290810.3,358261555.2,2,2,164,37,1699045430
1.124,413.709,25381.7,24.1,758090.4,347344896,2,2,0,0,163.6,5,37,1.097,0.27425,24,2664,758090.4,358248448,2,2,163.6,37,1699045440
1.134,417.162,25844.9,24.2,1042603.9,347324416,2,2,0,0,164.1,5,37,1.208,0.302,24.1,2664,1042603.9,358230016,2,2,164.1,37,1699045450
1.126,413.708,25508.2,24.1,801024.1,347321958.4,2,2,0,0,164,5,37,1.104,0.276,24,2664,801024.1,358225510.4,2,2,164,37,1699045460
1.151,423.449,30057.3,25,1026524.5,347299840,2,2,0,0,164.8,5,37,1.1,0.275,24.2,2664,1026524.5,358203392,2,2,164.8,37,1699045470
1.042,383.212,25640.3,24.1,2011995.7,347294105.6,2,2,0,0,164,5,37,1.208,0.302,24,2664,2011995.7,358197657.6,2,2,164,37,1699045480
1.164001,428.522001,25715.5,24.1,956377.2,347271168,2,2,0,0,164,5,37,1,0.25,24,2664,956377.2,358174720,2,2,164,37,1699045490
1.2,440.89,25797.3,24.1,906343.3,347267891.2,2,2,0,0,163.5,5,37,1.054,0.2635,24,2664,906343.3,358174720,2,2,163.5,37,1699045500
1.125,413.421,25881.3,24.1,865844.4,347238400,2,2,0,0,164,5,37,1.155,0.28875,24,2664,865844.4,358145228.8,2,2,164,37,1699045510
10.02,3670.415,30277.9,25,764068.8,341446656,8,2,0,0,1068,5,43,10.072,2.518,24.2,3096,764068.8,352391168,8,2,1068,43,1699053210
9.556001,3500.265001,25925.6,24.1,1383075,341446656,7.4,2,0,0,1030.4,5,43,9.576,2.394,24,3096,1383075,352391168,7.4,2,1030.4,43,1699053220
9.549,3497.813,26048.2,24.1,795066.6,341446656,7,2,0,0,1002.4,5,43,9.492,2.373,24,3096,795066.6,352391168,7,2,1002.4,43,1699053230
9.183,3363.607,26160.6,24.1,702622.4,341446656,7,2,0,0,987.6,5,43,9.78,2.445,24,3096,702622.4,352391168,7,2,987.6,43,1699053240
9.585,3511.124,26676.1,24.2,737693.3,341446656,7,2,0,0,1027.7,5,43,9.086,2.2715,24.1,3096,737693.3,352391168,7,2,1027.7,43,1699053250
9.891,3623.361,26368.1,24.1,1487979.7,341444608,7,2,0,0,1038.4,5,43,9.854001,2.463501,24,3096,1487979.7,352399769.6,7,2,1038.4,43,1699053260
9.517,3485.718,30953.2,25,919052.5,341347123.2,7,2,0,0,1008.4,5,43,9.645,2.41125,24.2,3096,919052.5,352417792,7,2,1008.4,43,1699053270
9.513,3485.184,26610.6,24.1,1401945.2,341184921.6,7.3,2,0,0,1006,5,43,9.17,2.2925,24,3096,1401945.2,352260096,7.3,2,1006,43,1699053280
9.825,3599.054,26726.3,24.1,1223676.2,341023539.2,8,2,0,0,1063.2,5,43,10.029,2.50725,24,3096,1223676.2,352088064,8,2,1063.2,43,1699053290
9.977,3654.804,26834.4,24.1,1247258.3,340950220.8,8,2,0,0,1070,5,43,9.88,2.47,24,3096,1247258.3,352002867.2,8,2,1070,43,1699053300
9.655,3536.72,26942.7,24.1,903270.5,340886323.2,8,2,0,0,1035.2,5,43,9.656,2.414,24,3096,903270.5,351893094.4,8,2,1035.2,43,1699053310
10.098,3698.783001,34886,24.3,893325.7,340807270.4,8,2,0,0,1034.6,5,43,10.192,2.548,24,3096,893325.7,351748096,8,2,1034.6,43,1699053320
10.5,3846.447,61303.4,27.9,1087016.7,340832665.6,8,2,0,0,1071.7,5,43,9.776,2.444,24.5,3096,1087016.7,351735808,8,2,1071.7,43,1699053330
10.113,3704.076,27310.5,24.1,792991,340627456,8,2,0,0,1059.6,5,43,10.592,2.648,24,3096,792991,351552307.2,8,2,1059.6,43,1699053340
9.236,3382.977,32958,24.2,743966.9,340556595.2,8,2,0,0,983.8,5,43,9.444,2.361,24,3096,743966.9,351473664,8,2,983.8,43,1699053350
9.903,3627.486,23584.5,24.1,799370.2,340323532.8,8,2,0,0,1069.7,5,43,9.784,2.446,24,3096,799370.2,351234048,8,2,1069.7,43,1699053360
9,3297.001,24091.1,24.1,757822.9,340324761.6,8,2,0,0,949.2,5,43,9.062001,2.265501,24,3096,757822.9,351204147.2,8,2,949.2,43,1699053370
9.268,3395.16,24658,24.2,794952.6,340325990.4,8,2,0,0,938.5,5,43,9.57,2.3925,24.1,3096,794952.6,351191040,8,2,938.5,43,1699053380
10.21,3740.402,56867.8,28.2,1444613.1,340340736,8,2,0,0,990.4,5,43,9.354001,2.338501,24.6,3096,1444613.1,351191040,8,2,990.4,43,1699053390
9.775,3581.043,24561.4,24.1,1223657.4,340318617.6,8,2,0,0,996.6,5,43,10.264,2.566,24,3096,1223657.4,351171379.2,8,2,996.6,43,1699053400
