Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.92,5.4,2,80054553.6,0,0,0,51.743688,1699045220
1.772,3.8,2,81488153.6,0,0,0,51.699394,1699045230
1.772,3.6,1.5,83082726.4,0,0,0,51.699394,1699045240
1.77,4,2,84474201.6,0,0,0,51.699394,1699045250
1.82,4.4,2,85991891.2,0,0,0,51.699394,1699045260
1.697,3.6,1.5,87545504,0,0,0,51.699394,1699045270
2.103,5,2,61339058.4,0,0,0,51.762609,1699045280
1.928001,4.4,2,50884033.6,0,0,0,51.758685,1699045290
1.714,3.6,1.5,52454440,0,0,0,51.701137,1699045300
1.773001,4.8,2,54017473.6,0,0,0,51.701137,1699045310
6.232,4.4,2,52939024,0,0,0,51.686751,1699045320
1.576,3.6,1.5,50613608,0,0,0,51.672364,1699045330
1.711,3.6,2,52144283.2,0,0,0,51.672364,1699045340
1.709,3.8,2,53633998.4,0,0,0,51.672364,1699045350
1.660001,3.6,1.5,55260929.6,0,0,0,51.672364,1699045360
1.648001,3.8,2,56743681.6,0,0,0,51.672364,1699045370
1.677,3.8,2,58280500.8,0,0,0,51.672364,1699045380
1.673,4.2,1.5,59836177.6,0,0,0,51.672364,1699045390
1.763,4,2,61317307.2,0,0,0,51.672364,1699045400
2.054,4.6,2,62784084.8,0,0,0,51.672625,1699045410
1.775,3.6,1.5,64377838.4,0,0,0,51.673236,1699045420
1.731,4,2,65880602.285715,0,0,0,51.673236,1699045430
1.889,3.6,2,67314260.8,0,0,0,51.673236,1699045440
1.783,3.8,1.5,68863777.6,0,0,0,51.673236,1699045450
1.906,3.8,2,70305569.6,0,0,0,51.673236,1699045460
1.745,3.6,2,71811259.2,0,0,0,51.673236,1699045470
1.845,3.8,1.5,73264520,0,0,0,51.673236,1699045480
1.829,4,2,74859502.4,0,0,0,51.673236,1699045490
1.938,3.6,2,76306209.6,0,0,0,51.673236,1699045500
1.799,3.8,1.5,77813537.6,0,0,0,51.673236,1699045510
41.433,10,228.1,173245546.4,1.4,1.4,0,64.53086,1699053210
40.151,7.8,226.8,175976743.2,1.6,1.6,0,65.186797,1699053220
39.155,9.8,216.8,182614756.8,2.5,2.5,0,65.78461,1699053230
38.752,10.8,209.2,185789604,1.9,1.9,0,66.330938,1699053240
36.713,7.4,206.3,185680439.2,0.7,0.7,0,66.903204,1699053250
39.195,9.8,216.4,192472244,0.5,0.5,0,67.491172,1699053260
39.345,9.2,218.8,195004072,0.2,0.2,0,68.152657,1699053270
41.219,8.6,211,198556496,0.7,0.7,0,68.762188,1699053280
38.346,9,210.5,202499837.6,2.3,2.3,0,69.217266,1699053290
40.182,7.4,225.6,201558341.6,0.9,0.9,0,69.719141,1699053300
43.825,11.2,226.5,207629292,1.1,1.1,0,70.552657,1699053310
38.379001,9,218.6,210806425.6,1.8,1.8,0,70.895,1699053320
38.755,8.2,217.6,210612092.8,0.3,0.3,0,71.540313,1699053330
39.04,8,226.1,213651120,0.3,0.3,0,72.250391,1699053340
40.779,10.6,224.4,220444217.6,1.3,1.3,0,72.944844,1699053350
36.378,9.6,205.4,219222028.8,1.4,1.4,0,73.385157,1699053360
40.258,9,226.7,226114443.2,0.6,0.6,0,73.888516,1699053370
39.476,9,196,229161697.6,0.8,0.8,0,74.47,1699053380
42.463,12.2,194.4,232758865.142858,1.4,1.4,0,75.252657,1699053390
45.885001,11.8,205.1,235871036.8,0.2,0.2,0,75.688516,1699053400
43.139,8.8,208.9,233728298.4,0.2,0.2,0,76.282266,1699053410
41.452,9,211.2,242327203.2,0.4,0.4,0,76.962579,1699053420
44.627,10.4,213,241448598.4,1,1,0,77.394141,1699053430
58.272001,17.4,182.9,240747387.2,0.3,0.3,0,77.983204,1699053440
