Sysdig Container CPU Cores Used Percentage,Sysdig Container CPU Shares Used Percentage,Sysdig Container File Total Bytes,Sysdig Container File Total IOPS,Sysdig Container File Total Time,Sysdig Container Memory Used Bytes,Sysdig Container Net Connection Total Count,Sysdig Container Net Error Count,Sysdig Container Net HTTP Request Count,Sysdig Container Net HTTP Request Time,Sysdig Container Syscall Count,Sysdig Container Syscall Error Count,Sysdig Container Thread Count,Sysdig Program CPU Cores Used Percentage,Sysdig Program CPU Used Percentage,Sysdig Program File Input Operations per Second,Sysdig Program File Open Count,Sysdig Program File Total Time,Sysdig Program Memory Used Bytes,Sysdig Program Net Connection Total Count,Sysdig Program Net Error Count,Sysdig Program Syscall Count,Sysdig Program Thread Count,Timestamp
1.326,463.094,24927.6,24.1,878085.6,343339008,2,2,0,0,164,5,37,1.343,0.33575,24,2812,878085.6,335863808,2,2,164,37,1699045220
1.214,423.813,32882.4,25.8,838268.2,343339008,2,2,0,0,165.6,5,37,1.096,0.274,24.4,2812,838268.2,335863808,2,2,165.6,37,1699045230
1.325,462.888001,25094,24.1,985861.1,343339008,2,2,0,0,164,5,37,1.389,0.34725,24,2812,985861.1,335863808,2,2,164,37,1699045240
1.317,459.499,25169.4,24.1,1659916.1,343339008,2,2,0,0,164,5,37,1.296,0.324,24,2812,1659916.1,335863808,2,2,164,37,1699045250
1.225,427.903,25246.7,24.1,948059.4,343339008,2,2,0,0,163.6,5,37,1.3,0.325,24,2812,948059.4,335863808,2,2,163.6,37,1699045260
1.332,465.108,25313.8,24.1,977629.2,343339008,2,2,0,0,164,5,37,1.595,0.39875,24,2812,977629.2,335863808,2,2,164,37,1699045270
1.316,459.792001,25389.7,24.1,1321671.2,343339008,2,2,0,0,164,5,37,1.346,0.3365,24,2812,1321671.2,335863808,2,2,164,37,1699045280
1.298,453.469,31682.9,25.4,1028651.6,343339008,2,2,0,0,165.2,5,37,1.188001,0.297001,24.3,2812,1028651.6,335863808,2,2,165.2,37,1699045290
1.327,463.194,25966.5,24.2,940153.7,343339008,2,2,0,0,164.1,5,37,1.386,0.3465,24.1,2812,940153.7,335863808,2,2,164.1,37,1699045300
1.342,468.365,25628.6,24.1,803853.7,343339008,2,2,0,0,164,5,37,1.189,0.29725,24,2812,803853.7,335863808,2,2,164,37,1699045310
1.269,443.107,25708.8,24.1,1117221.3,343339008,2,2,0,0,163.6,5,37,1.29,0.3225,24,2812,1117221.3,335863808,2,2,163.6,37,1699045320
1.325,462.560001,25771.1,24.1,892272,343339008,2,2,0,0,164,5,37,1.289001,0.322251,24,2812,892272,335863808,2,2,164,37,1699045330
1.345,469.253,25846.1,24.1,1201415.4,343339008,2,2,0,0,164,5,37,1.441,0.36025,24,2812,1201415.4,335863808,2,2,164,37,1699045340
1.285,448.231001,32119.5,25.5,1000803.7,343339008,2,2,0,0,165.3,5,37,1.388001,0.347001,24.3,2812,1000803.7,335863808,2,2,165.3,37,1699045350
1.389,484.665,25992.2,24.1,786261,343339008,2,2,0,0,164,5,37,1.378,0.3445,24,2812,786261,335863808,2,2,164,37,1699045360
1.356,473.364001,26061.9,24.1,1096133.8,343339008,2,2,0,0,164,5,37,1.28,0.32,24,2812,1096133.8,335863808,2,2,164,37,1699045370
1.323,461.679,26141.7,24.1,937268.4,343339008,2,2,0,0,163.6,5,37,1.386,0.3465,24,2812,937268.4,335863808,2,2,163.6,37,1699045380
1.417,494.288,26206.8,24.1,911323.1,343339008,2,2,0,0,164,5,37,1.283,0.32075,24,2812,911323.1,335863808,2,2,164,37,1699045390
1.669,582.452,34006,24.2,871281.2,343339008,2,2,0,0,164.1,5,37,1.637,0.40925,24,2812,871281.2,335863808,2,2,164.1,37,1699045400
1.984,691.482,62149.3,28.5,859815.2,343339008,2,2,0,0,168.3,5,37,2.003,0.50075,24.6,2812,859815.2,335863808,2,2,168.3,37,1699045410
1.392,485.979,26471,24.1,913060.6,343339008,2,1.9,0,0,164,4.9,37,1.385,0.34625,24,2812,913060.6,335863808,2,1.9,164,37,1699045420
1.439,502.127001,28518.7,24.3,832708.1,343339008,2,2,0,0,164.3,5,37,1.525,0.38125,24.1,2812,832708.1,335863808,2,2,164.3,37,1699045430
1.293,451.308,26630.6,24.1,1123435.2,343339008,2,2,0,0,163.6,5,37,1.22,0.305,24,2812,1123435.2,335863808,2,2,163.6,37,1699045440
1.366,476.296,26699.9,24.1,1127068.5,343339008,2,2,0,0,163.8,5,37,1.376,0.344,24,2812,1127068.5,335863808,2,2,163.8,37,1699045450
1.319,460.266,24329.6,24.1,994847.1,343316480,2,2,0,0,163.9,5,37,1.378,0.3445,24,2812,994847.1,335839232,2,2,163.9,37,1699045460
1.908,665.043,58997.1,28.9,950014.9,343314432,2,2,0,0,168.6,5,37,1.829,0.45725,24.7,2812,950014.9,335839232,2,2,168.6,37,1699045470
1.355,472.760001,24551.5,24.1,1365357.2,343314432,2,2,0,0,164,5,37,1.331,0.33275,24,2812,1365357.2,335839232,2,2,164,37,1699045480
1.376,480.086,24640.5,24.1,857900.2,343314432,2,2,0,0,164,5,37,1.28,0.32,24,2812,857900.2,335839232,2,2,164,37,1699045490
1.26,440.092,24729.4,24.1,922716.7,343329177.6,2,2,0,0,163.5,5,37,1.427,0.35675,24,2812,922716.7,335839232,2,2,163.5,37,1699045500
1.391,486.076,24818.6,24.1,1485251.5,343339008,2,2,0,0,164.1,5,37,1.422001,0.355501,24,2812,1485251.5,335839232,2,2,164.1,37,1699045510
8.815001,3067.061,84917.8,42.4,2808160.4,345411174.4,8,2,0,0,1269.6,5,43,8.766,2.1915,24.7,3268,2808160.4,336030924.8,8,2,1269.6,43,1699053210
7.877,2741.243,42543.5,37.1,1221195.7,345477939.2,8,2,0,0,1219.8,5,43,7.968001,1.992001,24,3268,1221195.7,336220160,8,2,1219.8,43,1699053220
7.692,2676.193,44282.6,37.2,2166130.2,345743360,8,2,0,0,1179.5,5,43,7.509,1.87725,24.1,3268,2166130.2,336490496,8,2,1179.5,43,1699053230
7.416,2580.774001,42178.1,36.8,1480752.4,345710182.4,8,2,0,0,1164.3,5,43,7.825,1.95625,24,3268,1480752.4,336457318.4,8,2,1164.3,43,1699053240
7.903001,2749.521,43121.2,37.3,1401227.2,345707315.2,8,2,0,0,1214.1,5,43,7.513,1.87825,24,3268,1401227.2,336453632,8,2,1214.1,43,1699053250
7.815,2719.654,39249.9,36.3,1312126,345714688,8,2,0,0,1228.2,5,43,7.641,1.91025,24,3268,1312126,336453632,8,2,1228.2,43,1699053260
8.258,2873.325,78365.1,42,1577689.8,345734348.8,8,2,0,0,1190.2,5,43,8.061,2.01525,24.8,3268,1577689.8,336453632,8,2,1190.2,43,1699053270
7.6,2645.028,38993.4,38.4,1262745.8,345726976,8,2,0,0,1186.3,5,43,7.806,1.9515,24,3268,1262745.8,336404480,8,2,1186.3,43,1699053280
7.867,2737.706,40106.9,37.5,1679664.9,345556172.8,8,2,0,0,1264.6,5,43,8.088,2.022,24,3268,1679664.9,336207872,8,2,1264.6,43,1699053290
7.924,2757.414,40419.6,37.8,1536836.9,345587302.4,8,2,0,0,1256.5,5,43,7.674,1.9185,24,3268,1536836.9,336207872,8,2,1256.5,43,1699053300
7.801,2714.538,40152.2,38.6,1620201.2,345624985.6,8,2,0,0,1228.1,5,43,7.88,1.97,24,3268,1620201.2,336207872,8,2,1228.1,43,1699053310
