Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.549,6,1.333334,64104384,0,0,0,56.283134,1699045220
1.438001,5.8,1,65616217.6,0,0,0,56.283134,1699045230
1.49,5.4,1.333334,67120678.4,0,0,0,56.283134,1699045240
1.606,5.2,1.333334,68612032,0,0,0,56.283134,1699045250
1.448,5.8,1,70146393.6,0,0,0,56.283134,1699045260
1.504,6.2,1.333334,71621363.2,0,0,0,56.283134,1699045270
1.658,6,1.333334,73156134.4,0,0,0,56.341117,1699045280
1.356,5.8,1,74640524.8,0,0,0,56.284006,1699045290
1.494,5.4,1.333334,76103206.4,0,0,0,56.284006,1699045300
1.479,5.2,1.333334,77628147.2,0,0,0,56.284006,1699045310
1.436,5.8,1,79169881.6,0,0,0,56.284006,1699045320
1.619001,5.4,1.333334,80644441.6,0,0,0,56.284006,1699045330
1.929,6.8,1.333334,82099340.8,0,0,0,56.309815,1699045340
1.391,5.8,1,83642713.6,0,0,0,56.284006,1699045350
1.565,5.8,1.333334,85272921.6,0,0,0,56.284006,1699045360
1.584,5.6,1.333334,86583641.6,0,0,0,56.284006,1699045370
1.454,5.6,1,88140133.6,0,0,0,56.284006,1699045380
1.501,6,1.333334,89678603.2,0,0,0,56.284006,1699045390
1.554,6.8,1.333334,91303076.8,0,0,0,56.284006,1699045400
1.599,6.2,1,92742820.8,0,0,0,56.284006,1699045410
1.575,6.6,1.333334,94246462.4,0,0,0,56.284006,1699045420
1.46,6,1.333334,95807857.6,0,0,0,56.284006,1699045430
1.434,5.8,1,97245957.6,0,0,0,56.284006,1699045440
1.956,6.6,1.333334,98769209.6,0,0,0,56.35533,1699045450
1.523001,5.2,1.333334,100302752,0,0,0,56.284006,1699045460
1.390001,5.4,1,101771987.2,0,0,0,56.284006,1699045470
1.559,5.2,1.333334,69485452,0,0,0,56.284006,1699045480
1.446001,6,1.333334,56427483.2,0,0,0,56.284006,1699045490
1.497,5.4,1,57979457.6,0,0,0,56.284006,1699045500
1.468,5,1.333334,59556008,0,0,0,56.284006,1699045510
