Sysdig Container CPU Cores Used Percentage,Sysdig Container CPU Shares Used Percentage,Sysdig Container File Total Bytes,Sysdig Container File Total IOPS,Sysdig Container File Total Time,Sysdig Container Memory Used Bytes,Sysdig Container Net Connection Total Count,Sysdig Container Net Error Count,Sysdig Container Net HTTP Request Count,Sysdig Container Net HTTP Request Time,Sysdig Container Syscall Count,Sysdig Container Syscall Error Count,Sysdig Container Thread Count,Sysdig Program CPU Cores Used Percentage,Sysdig Program CPU Used Percentage,Sysdig Program File Input Operations per Second,Sysdig Program File Open Count,Sysdig Program File Total Time,Sysdig Program Memory Used Bytes,Sysdig Program Net Connection Total Count,Sysdig Program Net Error Count,Sysdig Program Syscall Count,Sysdig Program Thread Count,Timestamp
1.252,406.802,25001.1,24.1,828857.1,326070272,2,2,0,0,164,5,37,1.2,0.3,24,2664,828857.1,337011507.2,2,2,164,37,1699045220
1.181,383.348,25062,24.1,1030247.8,326070272,2,2,0,0,163.6,5,37,1.304,0.326,24,2664,1030247.8,336998400,2,2,163.6,37,1699045230
1.238,402.153,25134.3,24.1,770966.4,326070272,2,2,0,0,164,5,37,1.106,0.2765,24,2664,770966.4,336998400,2,2,164,37,1699045240
1.274,414.067,32655.7,25.5,889406.8,326070272,2,2,0,0,165.7,5,37,1.304,0.326,24.4,2664,889406.8,336998400,2,2,165.7,37,1699045250
1.255001,407.279,25304.3,24.1,818382.1,326070272,2,2,0,0,163.6,5,37,1.206,0.3015,24,2664,818382.1,336998400,2,2,163.6,37,1699045260
1.246,404.212,25364.9,24.1,767466.4,326037094.4,2,2,0,0,164,5,37,1.306,0.3265,24,2664,767466.4,336987340.8,2,2,164,37,1699045270
1.23,399.273,25435.1,24.1,769406.4,325959680,2,2,0,0,164,5,37,1.2,0.3,24,2664,769406.4,336887808,2,2,164,37,1699045280
1.218,395.151,25495.2,24.1,1079566.2,325959680,2,2,0,0,163.6,5,37,1.202,0.3005,24,2664,1079566.2,336887808,2,2,163.6,37,1699045290
1.219,395.172,25559.3,24.1,903117.5,325959680,2,2,0,0,164,5,37,1.296,0.324,24,2664,903117.5,336887808,2,2,164,37,1699045300
1.256,407.714,30937.3,25,2066946.8,325959680,2,2,0,0,165.2,5,37,1.206,0.3015,24.2,2664,2066946.8,336887808,2,2,165.2,37,1699045310
1.209,392.936001,25703.4,24.1,931742.4,325959680,2,2,0,0,163.6,5,37,1.2,0.3,24,2664,931742.4,336887808,2,2,163.6,37,1699045320
1.229,399.552,25764.9,24.1,800820,325959680,2,2,0,0,164,5,37,1.208,0.302,24,2664,800820,336887808,2,2,164,37,1699045330
1.213,393.605,25837.2,24.1,870009.4,325959680,2,2,0,0,164,5,37,1.2,0.3,24,2664,870009.4,336887808,2,2,164,37,1699045340
1.265001,411.104,25883.6,24.1,872770,325959680,2,2,0,0,163.6,5,37,1.306,0.3265,24,2664,872770,336887808,2,2,163.6,37,1699045350
1.236,401.393,25943.5,24.1,813583.1,325913804.8,2,2,0,0,164,5,37,1.2,0.3,24,2664,813583.1,336864870.4,2,2,164,37,1699045360
1.251,406.447,31305.7,25,895331.9,325844992,2,2,0,0,165.2,5,37,1.355,0.33875,24.2,2664,895331.9,336773120,2,2,165.2,37,1699045370
1.252,406.644,26494.7,24.2,867727.7,325844992,2,2,0,0,163.7,5,37,1.202,0.3005,24.1,2664,867727.7,336773120,2,2,163.7,37,1699045380
1.229,398.862,26132.7,24.1,880906.3,325844992,2,2,0,0,164,5,37,1.257001,0.314251,24,2664,880906.3,336773120,2,2,164,37,1699045390
1.611,522.661,33955.1,24.2,834244.8,325982617.6,2,2,0,0,164.1,5,37,1.554,0.3885,24,2664,834244.8,336935321.6,2,2,164.1,37,1699045400
1.238,401.911,26285.4,24.1,853598.8,326017024,2,2,0,0,163.4,5,37,1.305001,0.326251,24,2664,853598.8,337043456,2,2,163.4,37,1699045410
1.2,389.426001,24159,24.1,936265.6,326021529.6,2,2,0,0,164,5,37,1.152,0.288,24,2664,936265.6,337043456,2,2,164,37,1699045420
2.047,663.131001,59620.3,28,1296332.7,326025625.6,2,2,0,0,168.2,5,37,2.218,0.5545,24.5,2664,1296332.7,337043456,2,2,168.2,37,1699045430
1.288,417.915,25954.4,24.2,911207.2,326025216,2,2,0,0,163.7,5,37,1.306,0.3265,24,2664,911207.2,337043456,2,2,163.7,37,1699045440
1.181,383.898,24483.9,24.1,781223.4,326014566.4,2,2,0,0,164,5,37,1.2,0.3,24,2664,781223.4,337030348.8,2,2,164,37,1699045450
1.239,402.758,24559.9,24.1,788752.9,325971968,2,2,0,0,164,5,37,1.204,0.301,24,2664,788752.9,336912384,2,2,164,37,1699045460
1.228,398.752,24636.1,24.1,1000365.7,325971968,2,2,0,0,163.6,5,37,1.2,0.3,24,2664,1000365.7,336912384,2,2,163.6,37,1699045470
1.261,409.906001,24721,24.1,796039.1,325971968,2,2,0,0,164,5,37,1.204,0.301,24,2664,796039.1,336912384,2,2,164,37,1699045480
1.996,646.502001,58514.4,28.4,912778.7,325971968,2,2,0,0,168.6,5,37,2.094001,0.523501,24.6,2664,912778.7,336912384,2,2,168.6,37,1699045490
1.191,386.840001,24875.8,24.1,1011420.2,325971968,2,2,0,0,163.6,5,37,1.153,0.28825,24,2664,1011420.2,336912384,2,2,163.6,37,1699045500
1.212,393.334,25348.3,24.2,1525579.6,325971968,2,2,0,0,164.1,5,37,1.254,0.3135,24.1,2664,1525579.6,336912384,2,2,164.1,37,1699045510
1.266,411.383,26450.8,24.1,938126,326332416,2,2,0,0,163.4,5,44,1.306,0.3265,24,3344,938126,337178624,2,2,163.4,44,1699053210
1.223,397.24,24163.3,24.1,825573.9,326334464,2,2,0,0,164,5,44,1.1,0.275,24,3344,825573.9,337178624,2,2,164,44,1699053220
1.948,632.334001,58798.7,28.1,872042.4,326332416,2,2,0,0,168.7,5,44,2.004,0.501,24.5,3344,872042.4,337178624,2,2,168.7,44,1699053230
1.307,424.726,25946.1,24.2,1168974.2,326332416,2,2,0,0,163.3,5,44,1.304,0.326,24,3344,1168974.2,337178624,2,2,163.3,44,1699053240
1.256,407.97,24480.9,24.1,882727.4,326332416,2,2,0,0,164,5,44,1.298,0.3245,24,3344,882727.4,337178624,2,2,164,44,1699053250
1.239,402.504,24551.6,24.1,878938.8,326332416,2,2,0,0,164,5,44,1.202,0.3005,24,3344,878938.8,337178624,2,2,164,44,1699053260
1.187,385.787,24626.4,24.1,871433.9,326332416,2,2,0,0,163.6,5,44,1.202,0.3005,24,3344,871433.9,337178624,2,2,163.6,44,1699053270
1.297001,421.39,24708.7,24.1,1745348.3,326332416,2,2,0,0,164,5,44,1.302,0.3255,24,3344,1745348.3,337178624,2,2,164,44,1699053280
1.98,643.031001,57686.1,28.4,1297935.4,326332416,2,2,0,0,169,5,44,1.896001,0.474001,24.6,3344,1297935.4,337178624,2,2,169,44,1699053290
1.229,399.518,24887.1,24.1,940061.9,326332416,2,2,0,0,163.2,5,44,1.308,0.327,24,3344,940061.9,337178624,2,2,163.2,44,1699053300
1.359,441.465,25374.3,24.2,1274158.2,326332416,2,2,0,0,164.1,5,44,1.308,0.327,24.1,3344,1274158.2,337178624,2,2,164.1,44,1699053310
