Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.855,5.4,1.333334,97863504,0,0,0,69.868513,1699045220
1.612,4.6,1.333334,99278672,0,0,0,69.896415,1699045230
1.412,3.6,1,100772892.8,0,0,0,69.858225,1699045240
1.426,3.8,1.333334,102217961.6,0,0,0,69.858225,1699045250
1.545,4.6,1.333334,103706448,0,0,0,69.870344,1699045260
1.459,3.6,1,105281769.6,0,0,0,69.858835,1699045270
1.426,3.8,1.333334,106838249.6,0,0,0,69.857963,1699045280
1.488,3.8,1.333334,108295606.4,0,0,0,69.857353,1699045290
1.395,3.6,1,109816041.6,0,0,0,69.857353,1699045300
1.469,3.8,1.333334,111218512,0,0,0,69.857353,1699045310
1.495,3.8,1.333334,112712732.8,0,0,0,69.857353,1699045320
1.392,3.6,1,114222928,0,0,0,69.857353,1699045330
1.452,3.8,1.333334,115755241.6,0,0,0,69.857353,1699045340
1.579,4.6,1.333334,117144604.8,0,0,0,69.85805,1699045350
1.432,3.6,1,118747779.2,0,0,0,69.858225,1699045360
1.823,4.6,1.333334,120305897.6,0,0,0,69.859271,1699045370
1.459,3.8,1.333334,121695260.8,0,0,0,69.859968,1699045380
1.430001,4.2,1,123227990.4,0,0,0,69.859968,1699045390
1.604,4,1.333334,124903264,0,0,0,69.859968,1699045400
1.42,3.8,1.333334,126293446.4,0,0,0,69.859968,1699045410
1.444,3.6,1,127833132.8,0,0,0,69.859968,1699045420
1.514,3.8,1.333334,129378436.571429,0,0,0,69.859968,1699045430
1.5,3.8,1.333334,130709753.6,0,0,0,69.859968,1699045440
1.506,3.6,1,132244524.8,0,0,0,69.859968,1699045450
1.588,3.8,1.333334,133817798.4,0,0,0,69.859968,1699045460
1.594,3.8,1.333334,135307104,0,0,0,69.859968,1699045470
1.455,3.6,1,136827539.2,0,0,0,69.859968,1699045480
1.562,3.8,1.333334,138256224,0,0,0,69.859968,1699045490
1.655,3.8,1.333334,139658694.4,0,0,0,69.859968,1699045500
1.556,3.6,1,141226233.6,0,0,0,69.857701,1699045510
99.816,8.4,1140.5,133325611.2,16.1,16.1,0,62.463126,1699053210
100.061,7,1129.8,127195891.2,15.6,15.6,0,62.505,1699053220
99.793,8.8,1084.1,134540635.2,9,9,0,62.575313,1699053230
100.067,11.8,1047,130988654.4,0.2,0.2,0,63.365547,1699053240
100.048,7.4,1029.7,131267362.4,0.4,0.4,0,63.023282,1699053250
100.034,7.6,1082.4,127071360.8,0.1,0.1,0,62.861797,1699053260
100.222001,9.4,1093.8,132648386.4,0.2,0.2,0,62.879063,1699053270
99.624,10,1052.4,129800447.2,0.1,0.1,0,63.090157,1699053280
100.229,8.8,1052.3,144818355.2,5.5,5.5,0,63.861016,1699053290
99.588,9.6,1128.4,130327576.8,16.4,16.4,0,62.937891,1699053300
99.809,6.6,1133.2,122739060,0.5,0.5,0,63.406172,1699053310
99.845,8.6,1090.6,138006649.6,0.1,0.1,0,64.039766,1699053320
100.006,9.4,1087.9,133921989.6,0.1,0.1,0,64.179844,1699053330
99.653,7.6,1125.4,144246640,0.6,0.6,0,64.061563,1699053340
100.075,10,1120.3,133415268,0.2,0.2,0,64.054063,1699053350
99.773,11.2,1028.5,131753264.8,6.4,6.4,0,64.286094,1699053360
