Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.371,5.4,1,43601044.8,0,0,0,33.626012,1699045220
1.374,5.4,1,44485780.8,0,0,0,33.626012,1699045230
1.390001,5.2,1,45344302.4,0,0,0,33.626012,1699045240
1.423,5.4,1,46309320,0,0,0,33.626012,1699045250
1.42,4.6,1,47271060.8,0,0,0,33.626012,1699045260
1.402,3.6,1,48094356.8,0,0,0,33.626012,1699045270
1.427,5.4,1,49006126.4,0,0,0,33.626012,1699045280
1.408,5.4,1,49876116.8,0,0,0,33.626012,1699045290
1.416,4.4,1,50743649.6,0,0,0,33.626012,1699045300
1.489,3.8,1,51652961.6,0,0,0,33.626012,1699045310
1.464,4.6,1,52614702.4,0,0,0,33.626012,1699045320
1.75,4.4,1,53488788.8,0,0,0,33.626535,1699045330
1.466,4.6,1,54393185.6,0,0,0,33.626884,1699045340
1.491,3.8,1,55349192,0,0,0,33.626884,1699045350
1.494,4.4,1,56209352,0,0,0,33.626884,1699045360
1.483,3.8,1,57126856,0,0,0,33.626884,1699045370
1.521001,5.2,1,58041089.6,0,0,0,33.626884,1699045380
1.531001,4.8,1,59036836.8,0,0,0,33.626884,1699045390
10.417,6,1,46513152.8,0,0,0,33.584421,1699045400
1.226,5.2,1,33889116.8,0,0,0,33.541435,1699045410
1.276,3.6,1,34785321.6,0,0,0,33.541435,1699045420
1.275,4.6,1,35724534.4,0,0,0,33.541435,1699045430
1.28,3.8,1,36578960,0,0,0,33.541435,1699045440
1.358,4.4,1,37535785.6,0,0,0,33.541435,1699045450
1.369,3.8,1,38411100.8,0,0,0,33.541435,1699045460
1.354,4.6,1,39274537.6,0,0,0,33.541435,1699045470
1.345,3.6,1,40278876.8,0,0,0,33.541435,1699045480
1.323,4.6,1,41155011.2,0,0,0,33.541435,1699045490
1.46,3.8,1,42084393.6,0,0,0,33.541435,1699045500
1.494,4.4,1,43059241.6,0,0,0,33.541435,1699045510
1.433,6,1,56398876.8,0,0,0,27.1875,1699053210
1.386,5,1,57237328,0,0,0,27.1875,1699053220
1.332,5,1,58147049.6,0,0,0,27.1875,1699053230
1.428,5.2,1,59097731.2,0,0,0,27.1875,1699053240
1.465,6.2,1,59998851.2,0,0,0,27.1875,1699053250
1.373,5.8,1,60864350.4,0,0,0,27.1875,1699053260
1.353,5.2,1,61748913.6,0,0,0,27.1875,1699053270
1.331,5,1,62731134.4,0,0,0,27.1875,1699053280
1.492,6.4,1,60592728.8,0,0,0,27.187579,1699053290
1.385,4.8,1,34142624,0,0,0,27.188282,1699053300
1.453,5.8,1,35028179.2,0,0,0,27.188985,1699053310
1.407,5.4,1,35991968,0,0,0,27.189063,1699053320
1.396001,5.6,1,36878342.4,0,0,0,27.189766,1699053330
1.608,5.8,1,37801171.2,0,0,0,27.189844,1699053340
1.402,5.4,1,38723590.4,0,0,0,27.189844,1699053350
1.318,4.8,1,39629625.6,0,0,0,27.189844,1699053360
1.329,5,1,40581945.6,0,0,0,27.189844,1699053370
1.753001,6.2,1,41460947.2,0,0,0,27.191954,1699053380
1.568,5.8,1,42485883.428572,0,0,0,27.207188,1699053390
1.765,6.2,1,43238611.2,0,0,0,27.209063,1699053400
1.573,6.2,1,44177414.4,0,0,0,27.213985,1699053410
1.702,6,1,45138745.6,0,0,0,27.215469,1699053420
1.855,5.8,1,46077958.4,0,0,0,27.217735,1699053430
2.068,5.8,1,46928288,0,0,0,27.223672,1699053440
1.558,6,1,47895353.6,0,0,0,27.226407,1699053450
2.09,5.8,1,48754284.8,0,0,0,27.228672,1699053460
1.977,5,1,49606252.8,0,0,0,27.228907,1699053470
1.673,5.2,1,50586016,0,0,0,27.228907,1699053480
1.598,6.2,1,51447814.4,0,0,0,27.22961,1699053490
1.337,5.4,1,52393990.4,0,0,0,27.229688,1699053500
1.598,5.4,1,54162643.2,0,0,0,27.229688,1699053520
1.575,5.4,1,55053932.8,0,0,0,27.229688,1699053530
2.164,9.2,1,55972665.6,0,0,0,27.229688,1699053540
2.296001,10.2,1,56818080,0,0,0,27.232344,1699053550
1.723,5,1,57736812.8,0,0,0,27.275313,1699053560
1.769001,5.2,1,58614995.2,0,0,0,27.276563,1699053570
1.666,5.4,1,59475564.8,0,0,0,27.276563,1699053580
1.681,5.4,1,60483590.4,0,0,0,27.276563,1699053590
1.772,6,1,61363411.2,0,0,0,27.276563,1699053600
1.877,6.2,1,62225027.555556,0,0,0,27.29,1699053610
1.745,5,1,63230368,0,0,0,27.310157,1699053620
